Id,County,Name ,Address ,Lat,Lon,CapSqFt,CapPersons,CapReported
65,Nassau,Yulee Primary School ,86426 Goodbread Rd ,30.642048,-81.609066,0,0,129
66,St. John's,Allen D Nease HS ,10550 Ray Road ,30.081687,-81.448493,0,0,800
67,St. John's,Creekside High School ,100 Knights Lane ,30.08111,-81.562971,35822,1791,500
68,St. John's,Cunningham Creek Elementary School ,1205 Roberts Road ,30.07672,-81.612759,33122,1669,2400
69,St. John's,Durbin Creek Elementary ,4100 Race Track Road ,30.105439,-81.552142,54255,1501,500
70,St. John's,Fruit Cove Middle School ,2680 Race Track Road ,30.110239,-81.578091,28060,1122,500
71,St. John's,Hickory Creek Elem School ,235 Hickory Creek Trail ,30.064507,-81.646316,24649,1234,500
72,St. John's,Julington Creek Elementary School,2316 Racetrack Road ,30.116079,-81.602615,7567,378,
73,St. John's,Mill Creek Elementary School ,6350 International Golf Parkway ,29.965635,-81.491326,17121,856,
74,St. John's,Otis Mason Elementary School ,207 Mason Manatee Way ,29.82882,-81.373979,33276,1664,
75,St. John's,Pacetti Bay Middle School ,245 Meadowlark Lane ,29.944752,-81.502933,8000,660,
76,St. John's,Patriot Oaks Academy ,475 Longleaf Pine Parkway ,30.082952,-81.537217,10000,500,500
77,St. John's,Pedro Menendez High School ,600 SR-206 West ,29.756486,-81.332911,30823,1233,500
78,St. John's,South Woods Elementary School ,4750 SR 206 West ,29.726612,-81.464373,4527,226,500
79,St. John's,Switzerland Point Middle School ,777 Greenbriar Road ,30.062761,-81.647551,372700,3225,800
80,St. John's,Timberlin Creek Elem School ,555 Pine Tree Lane ,30.043249,-81.565857,10038,502,1000
81,St. John's,W Douglas Hartley Elementary School ,260 Cacique Drive ,29.789405,-81.311045,9415,471,335
82,Union,Lake Bultler ES ,800 SW 6th St ,30.016294,-82.348125,8640,432,432
83,Union,Lake Butler Middle School ,120 SW 6th St ,30.017061,-82.339032,26725,1102,424
85,Union,Union County High School ,1000 S Lake Ave ,30.01512,-82.339537,14600,730,200
