startTime,endTime,eventID,roadID,value1,value2
10,70000,1,100507,2,-999
10,70000,1,102042,2,-999
10,70000,1,101176,2,-999
10,70000,1,107093,2,-999
10,70000,1,101508,2,-999
10,70000,1,101551,2,-999
10,70000,1,101336,2,-999
10,70000,1,103801,2,-999
10,70000,1,108179,2,-999
10,70000,1,100345,2,-999
10,70000,1,105780,2,-999
10,70000,1,105580,2,-999
10,70000,1,104237,2,-999
10,70000,1,100558,2,-999
10,70000,1,106802,2,-999
10,70000,1,100172,2,-999
10,70000,1,104845,2,-999
10,70000,1,107064,2,-999
10,70000,1,100268,2,-999
10,70000,1,105228,2,-999
10,70000,1,103699,2,-999
10,70000,1,105794,2,-999
10,70000,1,104312,2,-999
10,70000,1,107157,2,-999
10,70000,1,104298,2,-999
10,70000,1,106480,2,-999
10,70000,1,103551,2,-999
10,70000,1,106379,2,-999
10,70000,1,101962,2,-999
10,70000,1,103703,2,-999
10,70000,1,103578,2,-999
10,70000,1,101689,2,-999
10,70000,1,103504,2,-999
10,70000,1,104461,2,-999
10,70000,1,105108,2,-999
10,70000,1,106656,2,-999
10,70000,1,100251,2,-999
10,70000,1,104187,2,-999
10,70000,1,101148,2,-999
10,70000,1,106404,2,-999
10,70000,1,108357,2,-999
10,70000,1,100372,2,-999
10,70000,1,102816,2,-999
10,70000,1,106050,2,-999
10,70000,1,104886,2,-999
10,70000,1,100433,2,-999
10,70000,1,102308,2,-999
10,70000,1,102214,2,-999
10,70000,1,101118,2,-999
10,70000,1,102277,2,-999
10,70000,1,104306,2,-999
10,70000,1,101232,2,-999
10,70000,1,102377,2,-999
10,70000,1,101738,2,-999
10,70000,1,103552,2,-999
10,70000,1,104515,2,-999
10,70000,1,107820,2,-999
10,70000,1,102886,2,-999
10,70000,1,106314,2,-999
10,70000,1,101048,2,-999
10,70000,1,103497,2,-999
10,70000,1,102435,2,-999
10,70000,1,103513,2,-999
10,70000,1,105847,2,-999
10,70000,1,106151,2,-999
10,70000,1,108355,2,-999
10,70000,1,100908,2,-999
10,70000,1,100890,2,-999
10,70000,1,106015,2,-999
10,70000,1,101989,2,-999
10,70000,1,104119,2,-999
10,70000,1,108016,2,-999
10,70000,1,100071,2,-999
10,70000,1,106112,2,-999
10,70000,1,103843,2,-999
10,70000,1,103853,2,-999
10,70000,1,107560,2,-999
10,70000,1,103496,2,-999
10,70000,1,106069,2,-999
10,70000,1,101206,2,-999
10,70000,1,105017,2,-999
10,70000,1,104888,2,-999
10,70000,1,104090,2,-999
10,70000,1,105209,2,-999
10,70000,1,107675,2,-999
10,70000,1,104178,2,-999
10,70000,1,107297,2,-999
10,70000,1,102963,2,-999
10,70000,1,103799,2,-999
10,70000,1,105844,2,-999
10,70000,1,101067,2,-999
10,70000,1,107275,2,-999
10,70000,1,100716,2,-999
10,70000,1,106585,2,-999
10,70000,1,107288,2,-999
10,70000,1,107875,2,-999
10,70000,1,106476,2,-999
10,70000,1,102804,2,-999
10,70000,1,105950,2,-999
10,70000,1,106434,2,-999
10,70000,1,108146,2,-999
10,70000,1,106154,2,-999
10,70000,1,105055,2,-999
10,70000,1,103206,2,-999
10,70000,1,106367,2,-999
10,70000,1,106912,2,-999
10,70000,1,100852,2,-999
10,70000,1,107937,2,-999
10,70000,1,108348,2,-999
