Vehicle,Location,Duration
10070826,392,-1
10070966,252,0
10070966,252,1
10070966,407,-1
10071009,252,0
10071009,238,0.08333
10071009,267,-1
10071145,252,0
10071145,252,0.4167
10071145,252,0.3333
10071145,238,0.4167
10071145,545,-1
10071436,252,0
10071436,291,0.6942
10071436,252,0.5803
10071436,590,-1
10071604,252,0
10071604,341,-1
10071841,252,0
10071841,341,-1
10071949,252,0
10071949,238,0.3333
10071949,372,-1
10071950,252,0
10071950,238,0.3333
10071950,372,-1
10072183,252,0
10072183,352,-1
10072241,252,0
10072241,252,0.5948
10072241,340,-1
10072242,252,0
10072242,252,0.5948
10072242,340,-1
10072434,252,0
10072434,566,-1
10072494,252,0
10072494,343,-1
10072675,252,0
10072675,371,-1
10072676,252,0
10072676,371,-1
10072741,252,0
10072741,260,-1
10072751,252,0
10072751,343,-1
10072798,252,0
10072798,238,0.4167
10072798,373,-1
10093970,289,0
10093970,531,-1
