startTime,endTime,eventID,roadID,value1,value2
0,28800,1,100960,5,-999
0,28800,1,104839,5,-999
0,28800,1,105135,5,-999
0,28800,1,100961,5,-999
0,28800,1,100962,5,-999
0,28800,1,100963,5,-999
39600,82800,1,100969,5,-999
39600,82800,1,100970,5,-999
39600,82800,1,101028,5,-999
0,21600,1,100982,5,-999
25200,82800,1,100982,5,-999
0,21600,1,104123,5,-999
25200,82800,1,104123,5,-999
39600,82800,1,101094,5,-999
0,28800,1,101209,5,-999
39600,82800,1,101209,5,-999
0,28800,1,104115,5,-999
39600,82800,1,104115,5,-999
0,82800,1,101210,5,-999
0,82800,1,104549,5,-999
0,82800,1,104552,5,-999
0,28800,1,101212,5,-999
39600,82800,1,101212,5,-999
0,28800,1,104545,5,-999
39600,82800,1,104545,5,-999
0,28800,1,104562,5,-999
39600,82800,1,104562,5,-999
0,82800,1,101334,5,-999
0,82800,1,101337,5,-999
0,82800,1,101339,5,-999
0,82800,1,101340,5,-999
0,82800,1,101341,5,-999
0,82800,1,101342,5,-999
0,82800,1,101347,5,-999
0,82800,1,101349,5,-999
0,82800,1,101353,5,-999
0,82800,1,101355,5,-999
0,82800,1,101357,5,-999
18000,21600,1,103163,5,-999
25200,82800,1,103163,5,-999
18000,21600,1,103218,5,-999
25200,82800,1,103218,5,-999
18000,21600,1,103219,5,-999
25200,82800,1,103219,5,-999
18000,21600,1,103221,5,-999
25200,82800,1,103221,5,-999
18000,21600,1,103222,5,-999
25200,82800,1,103222,5,-999
18000,21600,1,103228,5,-999
25200,82800,1,103228,5,-999
18000,21600,1,103232,5,-999
25200,82800,1,103232,5,-999
18000,21600,1,103240,5,-999
25200,82800,1,103240,5,-999
18000,21600,1,103241,5,-999
25200,82800,1,103241,5,-999
18000,21600,1,103294,5,-999
25200,82800,1,103294,5,-999
18000,21600,1,103164,5,-999
25200,82800,1,103164,5,-999
18000,21600,1,103295,5,-999
25200,82800,1,103295,5,-999
18000,21600,1,103332,5,-999
25200,82800,1,103332,5,-999
18000,21600,1,103333,5,-999
25200,82800,1,103333,5,-999
18000,21600,1,103294,5,-999
25200,82800,1,103294,5,-999
18000,21600,1,103336,5,-999
25200,82800,1,103336,5,-999
18000,21600,1,103344,5,-999
25200,82800,1,103344,5,-999
18000,21600,1,103308,5,-999
25200,82800,1,103308,5,-999
18000,21600,1,103331,5,-999
25200,82800,1,103331,5,-999
18000,21600,1,103334,5,-999
25200,82800,1,103334,5,-999
18000,21600,1,103295,5,-999
25200,82800,1,103295,5,-999
18000,21600,1,103335,5,-999
25200,82800,1,103335,5,-999
18000,21600,1,103341,5,-999
25200,82800,1,103341,5,-999
0,28800,1,103778,5,-999
0,28800,1,103779,5,-999
39600,82800,1,104068,5,-999
39600,82800,1,104129,5,-999
39600,82800,1,104071,5,-999
39600,82800,1,104089,5,-999
39600,82800,1,104099,5,-999
39600,82800,1,104100,5,-999
39600,82800,1,104069,5,-999
39600,82800,1,104070,5,-999
39600,82800,1,104090,5,-999
39600,82800,1,104099,5,-999
39600,82800,1,104100,5,-999
39600,82800,1,104104,5,-999
39600,82800,1,104105,5,-999
39600,82800,1,104115,5,-999
39600,82800,1,104116,5,-999
39600,82800,1,104117,5,-999
39600,82800,1,104118,5,-999
39600,82800,1,104119,5,-999
39600,82800,1,104071,5,-999
39600,82800,1,104103,5,-999
39600,82800,1,104106,5,-999
39600,82800,1,104113,5,-999
39600,82800,1,104114,5,-999
39600,82800,1,104116,5,-999
39600,82800,1,104117,5,-999
39600,82800,1,104118,5,-999
39600,82800,1,104119,5,-999
39600,82800,1,101210,5,-999
0,21600,1,104076,5,-999
25200,82800,1,104076,5,-999
0,21600,1,104122,5,-999
25200,82800,1,104122,5,-999
0,21600,1,104125,5,-999
25200,82800,1,104125,5,-999
0,21600,1,104128,5,-999
25200,82800,1,104128,5,-999
0,21600,1,104120,5,-999
25200,82800,1,104120,5,-999
0,21600,1,104123,5,-999
25200,82800,1,104123,5,-999
0,21600,1,104124,5,-999
25200,64800,1,104124,5,-999
0,21600,1,104126,5,-999
25200,64800,1,104126,5,-999
0,21600,1,104127,5,-999
25200,64800,1,104127,5,-999
0,21600,1,104129,5,-999
25200,64800,1,104129,5,-999
0,18000,1,104149,5,-999
21600,28800,1,104149,5,-999
32400,43200,1,104149,5,-999
0,18000,1,104565,5,-999
21600,28800,1,104565,5,-999
32400,43200,1,104565,5,-999
0,18000,1,104567,5,-999
21600,28800,1,104567,5,-999
32400,43200,1,104567,5,-999
21600,28800,1,104161,5,-999
32400,43200,1,104161,5,-999
0,18000,1,104161,5,-999
0,82800,1,104162,5,-999
0,82800,1,104571,5,-999
0,28800,1,104163,5,-999
46800,82800,1,104163,5,-999
0,28800,1,104165,5,-999
46800,82800,1,104165,5,-999
0,28800,1,104571,5,-999
46800,82800,1,104571,5,-999
0,18000,1,104255,5,-999
21600,28800,1,104255,5,-999
32400,43200,1,104255,5,-999
0,18000,1,104260,5,-999
21600,28800,1,104260,5,-999
32400,43200,1,104260,5,-999
0,18000,1,104254,5,-999
21600,28800,1,104254,5,-999
32400,43200,1,104254,5,-999
0,18000,1,104256,5,-999
21600,28800,1,104256,5,-999
32400,43200,1,104256,5,-999
0,18000,1,104269,5,-999
21600,28800,1,104269,5,-999
32400,43200,1,104269,5,-999
0,18000,1,104261,5,-999
21600,28800,1,104261,5,-999
32400,43200,1,104261,5,-999
0,39600,1,104477,5,-999
0,39600,1,104478,5,-999
0,39600,1,104506,5,-999
0,39600,1,104525,5,-999
0,39600,1,104481,5,-999
0,39600,1,104516,5,-999
0,39600,1,104525,5,-999
0,39600,1,104506,5,-999
0,39600,1,104495,5,-999
0,39600,1,104496,5,-999
0,28800,1,104517,5,-999
0,28800,1,104523,5,-999
0,28800,1,104531,5,-999
0,39600,1,104520,5,-999
0,39600,1,104528,5,-999
0,39600,1,104478,5,-999
0,39600,1,104526,5,-999
0,39600,1,104522,5,-999
0,39600,1,104524,5,-999
0,39600,1,104527,5,-999
0,82800,1,104550,5,-999
0,82800,1,104557,5,-999
0,82800,1,104558,5,-999
0,28800,1,104561,5,-999
39600,82800,1,104561,5,-999
0,82800,1,104564,5,-999
0,82800,1,104566,5,-999
0,82800,1,104565,5,-999
0,28800,1,104568,5,-999
46800,82800,1,104568,5,-999
0,28800,1,104569,5,-999
46800,82800,1,104569,5,-999
0,28800,1,104567,5,-999
46800,82800,1,104567,5,-999
0,28800,1,104570,5,-999
0,28800,1,104572,5,-999
0,21600,1,104578,5,-999
25200,82800,1,104578,5,-999
0,21600,1,105236,5,-999
25200,82800,1,105236,5,-999
39600,82800,1,105249,5,-999
39600,82800,1,105271,5,-999
39600,82800,1,105272,5,-999
39600,82800,1,105238,5,-999
39600,82800,1,105239,5,-999
39600,82800,1,105240,5,-999
39600,82800,1,105241,5,-999
39600,82800,1,105246,5,-999
39600,82800,1,105247,5,-999
39600,82800,1,105285,5,-999
39600,82800,1,105286,5,-999
39600,82800,1,105287,5,-999
39600,82800,1,105288,5,-999
39600,82800,1,105289,5,-999
39600,82800,1,105290,5,-999
39600,82800,1,105291,5,-999
39600,82800,1,105292,5,-999
39600,82800,1,105293,5,-999
39600,82800,1,105294,5,-999
39600,82800,1,105295,5,-999
39600,82800,1,105296,5,-999
39600,82800,1,105297,5,-999
39600,82800,1,105298,5,-999
39600,82800,1,105299,5,-999
39600,82800,1,105300,5,-999
39600,82800,1,105301,5,-999
39600,82800,1,105302,5,-999
39600,82800,1,105303,5,-999
39600,82800,1,105304,5,-999
39600,82800,1,105305,5,-999
39600,82800,1,105306,5,-999
39600,82800,1,105307,5,-999
39600,82800,1,105308,5,-999
39600,82800,1,105310,5,-999
39600,82800,1,105311,5,-999
39600,82800,1,105312,5,-999
39600,82800,1,105313,5,-999
39600,82800,1,105314,5,-999
39600,82800,1,105315,5,-999
39600,82800,1,105316,5,-999
39600,82800,1,105317,5,-999
39600,82800,1,105318,5,-999
39600,82800,1,105319,5,-999
39600,82800,1,105320,5,-999
39600,82800,1,105321,5,-999
39600,82800,1,105322,5,-999
39600,82800,1,105323,5,-999
39600,82800,1,105324,5,-999
39600,82800,1,105325,5,-999
