0,88,88
1,394,394
2,18,18
3,103,103
4,85,85
5,87,87
6,81,81
7,84,84
8,10,10
9,17,17
10,610,610
11,4,4
12,16,16
13,609,609
14,627,627
15,604,604
16,626,626
17,543,543
18,524,524
19,89,89
20,11,11
21,71,71
22,90,90
23,104,104
24,83,83
25,86,86
26,7,7
27,82,82
28,102,102
29,9,9
30,3,3
31,15,15
32,2,2
33,14,14
34,25,25
35,608,608
36,1,1
37,13,13
38,21,21
39,24,24
40,606,606
41,27,27
42,23,23
43,615,615
44,101,101
45,8,8
46,6,6
47,5,5
48,20,20
49,22,22
50,614,614
51,19,19
52,12,12
53,26,26
54,613,613
55,611,611
56,599,599
57,600,600
58,625,625
59,563,563
60,624,624
61,562,562
62,601,601
63,598,598
64,630,630
65,597,597
66,623,623
67,561,561
68,616,616
69,560,560
70,583,583
71,534,534
72,545,545
73,536,536
74,566,566
75,580,580
76,544,544
77,550,550
78,542,542
79,549,549
80,596,596
81,629,629
82,595,595
83,564,564
84,559,559
85,621,621
86,558,558
87,612,612
88,594,594
89,605,605
90,620,620
91,557,557
92,619,619
93,618,618
94,556,556
95,565,565
96,579,579
97,567,567
98,582,582
99,541,541
100,592,592
101,540,540
102,591,591
103,569,569
104,548,548
105,628,628
106,547,547
107,539,539
108,590,590
109,588,588
110,589,589
111,607,607
112,602,602
113,603,603
114,573,573
115,572,572
116,617,617
117,555,555
118,622,622
119,571,571
120,554,554
121,570,570
122,546,546
123,574,574
124,586,586
125,535,535
126,471,471
127,568,568
128,585,585
129,581,581
130,584,584
131,578,578
132,522,522
133,577,577
134,521,521
135,593,593
136,587,587
137,576,576
138,575,575
139,538,538
140,512,512
141,503,503
142,170,170
143,171,171
144,511,511
145,523,523
146,502,502
147,537,537
148,509,509
149,500,500
150,286,286
151,134,134
152,490,490
153,477,477
154,236,236
155,489,489
156,510,510
157,263,263
158,285,285
159,100,100
160,283,283
161,320,320
162,203,203
163,282,282
164,296,296
165,488,488
166,476,476
167,261,261
168,487,487
169,474,474
170,329,329
171,235,235
172,114,114
173,234,234
174,111,111
175,533,533
176,475,475
177,530,530
178,473,473
179,326,326
180,233,233
181,110,110
182,325,325
183,231,231
184,139,139
185,74,74
186,73,73
187,335,335
188,295,295
189,72,72
190,128,128
191,39,39
192,322,322
193,294,294
194,258,258
195,319,319
196,293,293
197,256,256
198,387,387
199,495,495
200,359,359
201,373,373
202,153,153
203,176,176
204,424,424
205,202,202
206,246,246
207,275,275
208,245,245
209,175,175
210,425,425
211,174,174
212,436,436
213,434,434
214,433,433
215,372,372
216,437,437
217,432,432
218,370,370
219,529,529
220,472,472
221,519,519
222,525,525
223,324,324
224,230,230
225,138,138
226,323,323
227,228,228
228,133,133
229,528,528
230,527,527
231,354,354
232,553,553
